groupId,groupLink,groupName,groupOrg,groupRepo,groupStatus.active,groupType,groupDesc,parentgroupId,groupCal,groupDocs,groupSummary,groupBallots,groupAIs,groupStatus.assignedGroup
smpte-02c-st,https://teams.microsoft.com/l/team/19%3a258dae6b0df548cf9ec108796f467dd8%40thread.tacv2/conversations?groupId=45b18962-fd04-4863-8158-4f1aab05f83b&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,ST Standards Committee,SMPTE,https://github.com/orgs/SMPTE/teams/standards-committee,true,TC,undefined,undefined,https://teams.microsoft.com/_#/tab::7ba343f0-b50a-44f2-accf-0ba53b273907/General?threadId=19:258dae6b0df548cf9ec108796f467dd8@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/STStandardsCommittee/Shared%20Documents/Forms/AllItems.aspx,undefined,https://teams.microsoft.com/l/channel/19%3ad24c644d33964ecaa11ade74868f96f9%40thread.tacv2/ST%2520Audit?groupId=45b18962-fd04-4863-8158-4f1aab05f83b,undefined,undefined
smpte-02c-tcrd,undefined,TC Reference Docs,SMPTE,undefined,true,SC,undefined,undefined,undefined,https://smpte.sharepoint.com/sites/SCStandardsCommunity/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2Fsites%2FSCStandardsCommunity%2FShared%20Documents%2FReference%20Documents&FolderCTID=0x012000BC8721B008348D48A6FE8E7C9298A177,undefined,undefined,undefined,undefined
smpte-03tf-jtf-aim,https://teams.microsoft.com/l/team/19%3a4c0f3ec5a76a4de2b319f7f6cf68ec84%40thread.tacv2/conversations?groupId=aa47ea2d-999d-41aa-9391-b88238206c75&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,Joint ETC Task Force on Artificial Intelligence and Media,SMPTE,undefined,true,TF,undefined,undefined,https://teams.microsoft.com/_#/tab::73bb9b78-aa4f-4d47-b2fa-18d10ab64396/General?threadId=19:4c0f3ec5a76a4de2b319f7f6cf68ec84@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/jt-ai/Shared%20Documents/Forms/AllItems.aspx,Identify Machine Learning / Artificial Intelligence areas and liaisons activities affecting professional media where SMPTE and the ETC can encourage interoperability and technology advancements.,undefined,undefined,undefined
smpte-03tf-jtf-psnm,https://teams.microsoft.com/l/team/19%3a380402f61c90498ca1f4e59f7a906db1%40thread.tacv2/conversations?groupId=e1ae856f-573a-41a5-846a-fbb53b2175aa&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,Joint Task Force on Professional Networked Streamed Media,SMPTE,undefined,true,TF,undefined,undefined,https://teams.microsoft.com/_#/tab::c111319b-7782-4a0a-a2eb-4dcb9009599d/General?threadId=19:380402f61c90498ca1f4e59f7a906db1@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/jt-nm/Shared%20Documents/Forms/AllItems.aspx,"The JT-NM (Joint Taskforce on Networked Media) is a self-coordinating group of industry bodies working together on the development of IP technologies for professional media systems. Admin Group Members include the Advanced Media Workflow Association (AMWA), the European Broadcasting Union (EBU), the Society of Motion Picture and Television Engineers (SMPTE), and the Video Services Forum (VSF).",undefined,undefined,undefined
smpte-03tf-stf,https://teams.microsoft.com/l/team/19%3a4359e9dd4cef4f24b1ca7dfa31e5a35d%40thread.tacv2/conversations?groupId=f4489e70-160a-4757-8b10-d2dc77aee22e&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,Software Task Force ,SMPTE,https://github.com/orgs/SMPTE/teams/sg-software,true,TF,undefined,undefined,https://teams.microsoft.com/_#/tab::1ad7e426-5ad1-4d46-9630-379b2b1207a3/General?threadId=19:4359e9dd4cef4f24b1ca7dfa31e5a35d@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/SMPTESoftwareTaskForce/Shared%20Documents/Forms/MostRecent.aspx,The Software Task Force was originally a study group (SG) reporting to the Standards Committee (ST). The mission of the study group was the research software issues related to the work of the Standards Community (SC) and make recommendations for changes in policies and procedures to ST.,undefined,undefined,undefined
smpte-10e-tc,https://teams.microsoft.com/l/team/19%3ae66ed43342f749a4904245a1f4785082%40thread.tacv2/conversations?groupId=959cb532-971a-4a7e-98cb-7d0b52650344&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,10E,SMPTE,https://github.com/orgs/SMPTE/teams/10e,true,TC,Essence,undefined,https://teams.microsoft.com/_#/tab::31aec66f-8362-45d1-84cd-965ed827d9b4/General?threadId=19:e66ed43342f749a4904245a1f4785082@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/TC-10Essence/Shared%20Documents/Forms/AllItems.aspx,"The application of the General Scope as it applies to electronic capture, generation, editing, mastering, archiving, and reproduction of image, audio, subtitles, captions, and any other master elements required for distribution across multiple applications.",https://teams.microsoft.com/l/channel/19%3a348b2313396d450b8d953b7e35782e32%40thread.tacv2/10E%2520Ballot%2520and%2520Votes?groupId=782b37fe-54e9-4def-a525-d6b0dfbabcdd,https://teams.microsoft.com/_#/tab::48d660a7-0e1b-4ad1-acb9-077e32ac61f4/General?threadId=19:e66ed43342f749a4904245a1f4785082@thread.tacv2&ctx=channel,undefined
smpte-20f-tc,https://teams.microsoft.com/l/team/19%3ad05ac56a79864deeb839e164f90333b1%40thread.tacv2/conversations?groupId=4794fd78-7c29-4044-acee-fcc720c8e51f&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,20F,SMPTE,undefined,false,TC,Film,undefined,https://teams.microsoft.com/_#/tab::1e77925a-5e97-4031-8f99-24ac2c7ca2aa/General?threadId=19:d05ac56a79864deeb839e164f90333b1@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/TC-20FFilm2/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2Fsites%2FTC%2D20FFilm2%2FShared%20Documents%2FGeneral&FolderCTID=0x012000BC8721B008348D48A6FE8E7C9298A177,"The application of the General Scope as it applies to application of mastered essence to theatrical film distribution, including, media and component creation, marking, laboratory methods, reproduction, packaging, projection, and related topics. Additionally film capture, editing and recording.",https://teams.microsoft.com/_#/conversations/20F%20Ballots%20and%20Votes?threadId=19:716586095d32476fab510adc6b2b9d06@thread.tacv2&ctx=channel,https://teams.microsoft.com/_#/tab::1f1e59a0-a1fd-449f-8408-f6e0529e6d76/General?threadId=19:d05ac56a79864deeb839e164f90333b1@thread.tacv2&ctx=channel,"[""smpte-27c-tc""]"
smpte-21dc-tc,https://teams.microsoft.com/l/team/19%3a93ba666aeaf245e6a6fd8838266a31c8%40thread.tacv2/conversations?groupId=45429333-33fc-40f2-a73b-190245416b1a&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,21DC,SMPTE,https://github.com/orgs/SMPTE/teams/21dc,false,TC,Digital Cinema,undefined,https://teams.microsoft.com/_#/tab::815c7a44-5262-4bfb-afa2-0311cc6a763f/General?threadId=19:93ba666aeaf245e6a6fd8838266a31c8@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/TC-21DCDigitalCinema/Shared%20Documents/Forms/AllItems.aspx,"The application of the General Scope as it applies to application of mastered essence to theatrical digital distribution, including compression, encryption, wrapping, marking, packaging, media, logging, playout, projection, reproduction, and related topics.",https://teams.microsoft.com/l/channel/19%3a5b7c8f7893e343bca6d8664f673920a5%40thread.tacv2/21DC%2520Ballots%2520and%2520Votes?groupId=2a84eaec-4488-4f92-95c6-85c4fe10141e,https://teams.microsoft.com/_#/tab::0e9fe0d6-75d3-4bfd-a063-08500df4ee65/General?threadId=19:93ba666aeaf245e6a6fd8838266a31c8@thread.tacv2&ctx=channel,"[""smpte-27c-tc""]"
smpte-21dc-tcdg-docmx,https://teams.microsoft.com/l/team/19%3ac3ff6a01de044d65b533856f97106ccb%40thread.tacv2/conversations?groupId=3e990441-c8ba-4b93-8a37-825355479680&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,DX Document Maintenance,SMPTE,undefined,false,DG,undefined,smpte-21dc-tc,https://teams.microsoft.com/_#/tab::3ba6ba5f-66b2-44f7-8822-0947b89aa312/General?threadId=19:c3ff6a01de044d65b533856f97106ccb@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/21DC-DocumentMaintenance/Shared%20Documents/Forms/AllItems.aspx,undefined,undefined,https://teams.microsoft.com/_#/tab::129e720e-4293-4882-aa23-20bfa3282374/General?threadId=19:c3ff6a01de044d65b533856f97106ccb@thread.tacv2&ctx=channel,"[""smpte-27c-tcwg-dx""]"
smpte-21dc-tcdg-smsomb,https://teams.microsoft.com/l/team/19%3a94583870de164d5a8e63ed9ed09a12cb%40thread.tacv2/conversations?groupId=2908db80-7281-44d2-95f7-a7554ac2afd1&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,SMS OMB Comm,SMPTE,undefined,false,DG,undefined,smpte-21dc-tc,https://teams.microsoft.com/_#/tab::3772f927-1903-41c7-8a16-b417bed1c6c6/General?threadId=19:94583870de164d5a8e63ed9ed09a12cb@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/21DC-DGSMSOMBComm/Shared%20Documents/Forms/AllItems.aspx,undefined,undefined,undefined,undefined
smpte-21dc-tcdg-stsub,https://teams.microsoft.com/l/team/19%3ab6c1c9d5a83c4c409bbf72f10323cf59%40thread.tacv2/conversations?groupId=39c9b607-bb0a-48db-bc3a-c0941fb06de2&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,Stereo Subtitling,SMPTE,undefined,false,DG,undefined,smpte-21dc-tc,https://teams.microsoft.com/_#/tab::9d9d1619-5705-47aa-8413-517634360ecc/General?threadId=19:b6c1c9d5a83c4c409bbf72f10323cf59@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/21DCAHGStereoSubtitling/Shared%20Documents/Forms/AllItems.aspx,undefined,undefined,undefined,"[""smpte-27c-tcdg-sub""]"
smpte-21dc-tcsg-fips,https://teams.microsoft.com/l/team/19%3ab231f399668a47969253c325bdb0746d%40thread.tacv2/conversations?groupId=574bfa06-b3ac-457f-ab2b-501b28d9112c&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,FIPS Revision,SMPTE,undefined,false,SG,undefined,smpte-21dc-tc,https://teams.microsoft.com/_#/tab::1e7f4ca7-690e-4b91-b3c9-6031a2a9977a/General?threadId=19:b231f399668a47969253c325bdb0746d@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/21DCSGFIPSRevision/Shared%20Documents/Forms/AllItems.aspx,undefined,undefined,undefined,"[""smpte-27c-tcsg-fips""]"
smpte-24tb-tc,https://teams.microsoft.com/l/team/19%3a8af492ebca17488194bd9a4f5707d923%40thread.tacv2/conversations?groupId=0fabf6ea-fe01-431a-a884-114bd03be283&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,24TB,SMPTE,https://github.com/orgs/SMPTE/teams/24tb,false,TC,Television and Broadband Media,undefined,https://teams.microsoft.com/_#/tab::6108613b-275d-4cb0-bcda-766aca86ecae/General?threadId=19:8af492ebca17488194bd9a4f5707d923@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/TC-24TBTelevisionandBroadbandMedia/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2Fsites%2FTC%2D24TBTelevisionandBroadbandMedia%2FShared%20Documents%2FGeneral&FolderCTID=0x012000BC8721B008348D48A6FE8E7C9298A177,"The application of the General Scope as it applies to mastered essence for television and broadband distribution (both separately and for hybrid television/broadband environments), including compression, encryption, wrapping, marking, packaging, media, tracking/control, presentation, reproduction, and related topics.",https://teams.microsoft.com/_#/conversations/24TB%20Ballots%20and%20Votes?threadId=19:e679ace0063843d0ab21b29ebda7c40f@thread.tacv2&ctx=channel,https://teams.microsoft.com/_#/tab::cd1ba14d-56e5-4432-be11-c1e462cafb52/General?threadId=19:8af492ebca17488194bd9a4f5707d923@thread.tacv2&ctx=channel,"[""smpte-10e-tc"",""smpte-31fs-tc"",""smpte-32nf-tc"",""smpte-34cs-tc""]"
smpte-25css-tc,https://teams.microsoft.com/l/team/19%3a6e5eca892af043d0b438234017de0f49%40thread.tacv2/conversations?groupId=7f1acf9a-c761-485c-9d79-39ae54ec98ad&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,25CSS,SMPTE,https://github.com/orgs/SMPTE/teams/25css,false,TC,Cinema Sound Systems,undefined,https://teams.microsoft.com/_#/tab::393c7572-3df1-4d91-be07-4c15ad0cd0cb/General?threadId=19:6e5eca892af043d0b438234017de0f49@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/TC-25CSSCinemaSoundSystems/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2Fsites%2FTC%2D25CSSCinemaSoundSystems%2FShared%20Documents%2FGeneral&FolderCTID=0x012000BC8721B008348D48A6FE8E7C9298A177,"The application of the General Scope as it applies to standards for cinema sound and cinema B-Chain systems, including performance, measurements, setup, calibration, acoustics and related topics.",https://teams.microsoft.com/_#/conversations/25CSS%20Ballots%20and%20Votes?threadId=19:e525a795c6ad43d0bdfd4bb1529b93ce@thread.tacv2&ctx=channel,https://teams.microsoft.com/_#/tab::0524fbc8-796d-4124-863b-fedc1b3c3602/General?threadId=19:6e5eca892af043d0b438234017de0f49@thread.tacv2&ctx=channel,"[""smpte-27c-tc""]"
smpte-25css-tcwg-bcce,https://teams.microsoft.com/l/team/19%3ab9381788f44f44cda803220b079cfbe7%40thread.tacv2/conversations?groupId=7c5ef60e-9336-499c-bf05-376fbcd617b1&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,Cinema B-Chain Characteristics and Expectations,SMPTE,undefined,false,WG,undefined,smpte-25css-tc,undefined,undefined,undefined,undefined,undefined,"[""smpte-27c-tcwg-snd""]"
smpte-25css-tcwg-bcce-dg-bc-ca,https://teams.microsoft.com/l/team/19%3a40d0a1981bbb40258c8179029cb3cf77%40thread.tacv2/conversations?groupId=0da3a379-f58c-4921-a5dd-d1f414201270&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,B-Chain Characteristics Clip Analysis,SMPTE,undefined,false,DG,undefined,smpte-25css-tcwg-bcce,undefined,undefined,undefined,undefined,undefined,"[""smpte-27c-tcwg-snd-dg-bc-ca""]"
smpte-25css-tcwg-bcce-dg-bc-isa,https://teams.microsoft.com/l/team/19%3a1f5fd3d3a6d9467d8a656e829b09b8bb%40thread.tacv2/conversations?groupId=11453347-22fe-49ae-a93c-32e5e4d8308a&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,B-Chain Characteristics In-Situ Analysis,SMPTE,undefined,false,DG,undefined,smpte-25css-tcwg-bcce,undefined,undefined,undefined,undefined,undefined,"[""smpte-27c-tcwg-snd-dg-bc-isa""]"
smpte-25css-tcwg-bcce-dg-bc-td,https://teams.microsoft.com/l/team/19%3ae2a95943514c40eb92539e884526b3a1%40thread.tacv2/conversations?groupId=2a861342-abc1-4b8f-9e26-f82d4e6aeef5&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,B-Chain Characteristics Technical Documents,SMPTE,undefined,false,DG,undefined,smpte-25css-tcwg-bcce,undefined,undefined,undefined,undefined,undefined,"[""smpte-27c-tcwg-snd-dg-bc-td""]"
smpte-27c-tc,https://teams.microsoft.com/l/team/19%3aH_o-NvcsCOX2jLC7iFPiLT7-H95ApKvg2BpB5GVLbME1%40thread.tacv2/conversations?groupId=49469d55-b750-4dd2-bc7b-36d05bdaebfd&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,27C,SMPTE,https://github.com/orgs/SMPTE/teams/27c,true,TC,Cinema,undefined,https://teams.microsoft.com/_#/tab::940af5df-e40f-46aa-bcee-8693a76a7441/General?groupId=f5c443d9-e019-4580-9311-73934d4ae20b&threadId=19:H_o-NvcsCOX2jLC7iFPiLT7-H95ApKvg2BpB5GVLbME1@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/27c/Shared%20Documents/Forms/AllItems.aspx?FolderCTID=0x0120003B8C2DDB1FCF0047A245698710BCFE07&id=%2Fsites%2F27c%2FShared%20Documents%2FGeneral&viewid=63eb211e%2Dd422%2D4611%2Dbe0c%2D19585a4d2f3f,"The application of the General Scope as it applies to theatrical distribution, reproduction and operations, both analog and digital.",https://teams.microsoft.com/l/channel/19%3a40f170538339408d9c66540015dd91c0%40thread.tacv2/27C%2520Ballots%2520and%2520Votes?groupId=2a84eaec-4488-4f92-95c6-85c4fe10141e&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,https://teams.microsoft.com/_#/tab::d633e317-7fa1-43d1-97ae-40f3ef1edb5b/General?groupId=f5c443d9-e019-4580-9311-73934d4ae20b&threadId=19:H_o-NvcsCOX2jLC7iFPiLT7-H95ApKvg2BpB5GVLbME1@thread.tacv2&ctx=channel,undefined
smpte-27c-tcdg-sub,https://teams.microsoft.com/l/team/19%3ab6c1c9d5a83c4c409bbf72f10323cf59%40thread.tacv2/conversations?groupId=39c9b607-bb0a-48db-bc3a-c0941fb06de2&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,Subtitling,SMPTE,undefined,true,DG,undefined,smpte-27c-tc,https://teams.microsoft.com/_#/tab::9d9d1619-5705-47aa-8413-517634360ecc/General?threadId=19:b6c1c9d5a83c4c409bbf72f10323cf59@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/21DCAHGStereoSubtitling/Shared%20Documents/Forms/AllItems.aspx,undefined,undefined,undefined,undefined
smpte-27c-tcsg-fips,https://teams.microsoft.com/l/team/19%3ab231f399668a47969253c325bdb0746d%40thread.tacv2/conversations?groupId=574bfa06-b3ac-457f-ab2b-501b28d9112c&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,FIPS Revision,SMPTE,undefined,true,SG,undefined,smpte-27c-tc,https://teams.microsoft.com/_#/tab::1e7f4ca7-690e-4b91-b3c9-6031a2a9977a/General?threadId=19:b231f399668a47969253c325bdb0746d@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/21DCSGFIPSRevision/Shared%20Documents/Forms/AllItems.aspx,undefined,undefined,undefined,undefined
smpte-27c-tcwg-dx,https://teams.microsoft.com/_#/conversations/General?threadId=19:6d0f85f013154809868566f6a7b3d1ec@thread.tacv2&ctx=channel,10 - Document Maintenance,SMPTE,undefined,true,WG,undefined,smpte-27c-tc,https://teams.microsoft.com/_#/tab::cca58a74-d3fd-47d1-8af8-2834e0fa5a71/General?threadId=19:6d0f85f013154809868566f6a7b3d1ec@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/35pm-doc-mx/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2Fsites%2F35pm%2Ddoc%2Dmx%2FShared%20Documents%2FGeneral&FolderCTID=0x01200040AE555164DABC4A9355E7E27EFBF69D,undefined,undefined,undefined,undefined
smpte-27c-tcwg-dx-dg-2095-1-rev,https://teams.microsoft.com/l/team/19%3aZpXEn9vvihFtVqiSHnW9ch4J8M82noAclVassWZTDPQ1%40thread.tacv2/conversations?groupId=882463b2-17d6-4976-b6ca-341b120ab4a4&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,10 - ST 2095-1:2015 Revision (Constrained),SMPTE,undefined,true,DG,undefined,smpte-27c-tcwg-dx,https://teams.microsoft.com/_#/tab::898e2966-8a25-4d20-b234-6ca289495e41/General?groupId=f5c443d9-e019-4580-9311-73934d4ae20b&threadId=19:ZpXEn9vvihFtVqiSHnW9ch4J8M82noAclVassWZTDPQ1@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/25CSS-ST-2095-1-2015/Shared%20Documents/General,undefined,undefined,undefined,undefined
smpte-27c-tcwg-snd,https://teams.microsoft.com/l/team/19%3ab9381788f44f44cda803220b079cfbe7%40thread.tacv2/conversations?groupId=7c5ef60e-9336-499c-bf05-376fbcd617b1&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,20 - Sound,SMPTE,undefined,true,WG,undefined,smpte-27c-tc,https://teams.microsoft.com/_#/tab::683cbf1c-524f-41c0-a935-1d6f29d932b7/General?groupId=f5c443d9-e019-4580-9311-73934d4ae20b&threadId=19:b9381788f44f44cda803220b079cfbe7@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/25css-cinema-bchain/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2Fsites%2F25css%2Dcinema%2Dbchain%2FShared%20Documents%2FGeneral&FolderCTID=0x01200040AE555164DABC4A9355E7E27EFBF69D,undefined,undefined,undefined,undefined
smpte-27c-tcwg-snd-dg-bc-ca,https://teams.microsoft.com/l/team/19%3a40d0a1981bbb40258c8179029cb3cf77%40thread.tacv2/conversations?groupId=0da3a379-f58c-4921-a5dd-d1f414201270&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,20 - B-Chain Characteristics Clip Analysis,SMPTE,undefined,true,DG,undefined,smpte-27c-tcwg-snd,https://teams.microsoft.com/_#/tab::95429797-19c8-4361-b6cc-cba9d233fe49/General?groupId=f5c443d9-e019-4580-9311-73934d4ae20b&threadId=19:40d0a1981bbb40258c8179029cb3cf77@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/25css-bchain-clip/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2Fsites%2F25css%2Dbchain%2Dclip%2FShared%20Documents%2FGeneral&FolderCTID=0x01200040AE555164DABC4A9355E7E27EFBF69D,undefined,undefined,undefined,undefined
smpte-27c-tcwg-snd-dg-bc-isa,https://teams.microsoft.com/l/team/19%3a1f5fd3d3a6d9467d8a656e829b09b8bb%40thread.tacv2/conversations?groupId=11453347-22fe-49ae-a93c-32e5e4d8308a&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,20 - B-Chain Characteristics In-Situ Analysis,SMPTE,undefined,true,DG,undefined,smpte-27c-tcwg-snd,https://teams.microsoft.com/_#/tab::15afbbd4-0543-4e88-bdd8-f2d01e0a4536/General?groupId=f5c443d9-e019-4580-9311-73934d4ae20b&threadId=19:1f5fd3d3a6d9467d8a656e829b09b8bb@thread.tacv2&ctx=channel,https://smpte.sharepoint.com/sites/25css-bchain-situ/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2Fsites%2F25css%2Dbchain%2Dsitu%2FShared%20Documents%2FGeneral&FolderCTID=0x01200040AE555164DABC4A9355E7E27EFBF69D,undefined,undefined,undefined,undefined
smpte-27c-tcwg-snd-dg-bc-td,https://teams.microsoft.com/l/team/19%3ae2a95943514c40eb92539e884526b3a1%40thread.tacv2/conversations?groupId=2a861342-abc1-4b8f-9e26-f82d4e6aeef5&tenantId=c6051a58-269b-4f08-835f-eedebf4596b3,20 - B-Chain Characteristics Technical Documents,SMPTE,undefined,true,DG,undefined,smpte-27c-tcwg-snd,https://smpte.sharepoint.com/sites/25css-bchain-tech-docs/Shared%20Documents/Forms/AllItems.aspx?RootFolder=%2Fsites%2F25css%2Dbchain%2Dtech%2Ddocs%2FShared%20Documents%2FGeneral&FolderCTID=0x01200040AE555164DABC4A9355E7E27EFBF69D,https://teams.microsoft.com/_#/tab::9fe8b327-5910-4234-a554-ef45bf219ad2/General?groupId=f5c443d9-e019-4580-9311-73934d4ae20b&threadId=19:e2a95943514c40eb92539e884526b3a1@thread.tacv2&ctx=channel,undefined,undefined,undefined,undefined
